,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
da:a1:19:b3:de:be,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:b4:1c:f2,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b4:53:5e,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b4:66:29,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b4:d0:0d,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b4:d5:dc,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b5:09:9f,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b5:8b:2a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b5:af:4e,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b5:b7:02,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:b5:fa:fb,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:b6:79:bb,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b7:1f:f5,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b7:30:41,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:b7:da:1d,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b7:fc:fc,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b8:31:8f,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:b8:a1:ae,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b8:e9:1a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b8:ea:83,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:b9:0e:aa,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b9:21:f5,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b9:2e:b3,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:b9:6d:ae,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b9:6f:01,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:b9:af:de,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:b9:c6:9a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ba:1c:31,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:ba:22:f6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ba:a3:66,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ba:b9:f6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bb:03:55,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:bb:23:d3,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bb:58:fb,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bb:79:60,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:bb:b8:29,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bc:03:19,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:bc:13:fc,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bc:24:b0,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bc:37:20,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bc:64:df,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:bc:cc:b6,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:bc:ec:60,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:bd:01:32,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bd:82:7e,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bd:a9:f4,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:bd:d5:cd,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bd:fd:0a,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:be:26:68,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:be:26:fa,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:be:2a:ab,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:be:67:42,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:be:70:fc,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:be:7d:15,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:be:af:36,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:be:cb:fc,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:bf:71:fd,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c0:17:00,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:c0:5f:6a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c1:19:a2,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:c1:3e:0a,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c1:c8:ae,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c2:98:6c,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c2:9d:ac,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:c2:d0:7f,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c2:f3:c7,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c2:fa:ca,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c3:41:ca,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c3:56:4d,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c3:bc:c8,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c3:e3:03,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c4:6d:d6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c4:88:f6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c5:2d:03,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c5:2d:3a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c5:34:5f,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c5:88:27,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c5:f6:cc,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c5:fa:ed,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c6:35:8e,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c6:41:2a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c6:44:36,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c6:76:15,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c6:8d:f2,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c6:a3:49,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c6:b9:24,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c7:24:b1,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:c7:72:ad,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c7:79:2b,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c7:95:78,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c7:ae:f8,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c7:e4:c1,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c7:fc:76,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c8:43:f5,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c8:52:02,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c8:54:f3,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c8:88:b9,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c8:a2:da,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c8:b6:21,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c9:00:ee,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:c9:32:ec,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c9:55:29,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c9:b2:09,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:c9:b5:9b,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ca:04:83,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ca:7a:a9,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ca:a0:9a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cb:47:2d,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:cb:63:98,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:cb:7f:e3,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:cb:9a:55,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cb:ae:a6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cb:c7:fa,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cb:e0:fe,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cc:34:76,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cc:3f:4e,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:cc:69:38,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:cc:7e:30,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cc:7f:7f,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cc:a2:af,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cd:06:a6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cd:18:9e,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cd:b6:c6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cd:e2:54,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:14:b3,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:1c:d2,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:41:c3,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:ce:51:03,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:6d:d5,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:76:4d,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:89:5f,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:8a:90,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:ce:fc:f3,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:ce:ff:67,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cf:94:7d,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cf:a5:b0,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:cf:c2:22,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:cf:f1:3d,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d0:01:a0,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d0:7c:3a,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d0:8c:ab,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d0:a4:18,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d0:b4:61,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d0:b9:ea,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d0:d6:ff,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d1:05:dc,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d1:0c:e2,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d1:1d:b9,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d1:34:4d,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d1:39:22,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d1:96:7f,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d1:b8:3e,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d2:14:b1,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d2:3a:7c,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d2:84:6d,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d2:89:48,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d2:b5:1a,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d2:e4:48,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d3:53:79,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d3:96:a3,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d3:b1:b5,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d3:f7:50,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d4:0e:03,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d4:3e:45,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d4:5a:2a,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d4:85:7f,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d4:a0:40,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d4:bb:91,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d5:4b:93,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d5:a7:91,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d6:3e:6f,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d6:62:01,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d6:67:f4,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d6:ac:a6,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:02:25,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d7:2c:02,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:3f:13,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:50:24,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:63:26,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:76:b8,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:89:ba,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:a2:d8,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d7:bb:3c,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d7:be:c2,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d8:32:88,52,52,52.0,10,10,10.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:a1:19:d8:77:84,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d8:8a:74,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d8:c0:f4,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
da:a1:19:d8:f7:64,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d9:78:4e,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:d9:7d:bb,3,3,3.0,3,3,3.0,3,3,3.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
da:a1:19:da:24:5e,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
