,MAC Address,FSCT-1,FSCT-2,FSCT-3,FSCT-4,FSCT-5,FSCT-6,FSCT-7,FSCT-8,FSCT-9,FSCT-10,FSCT-11,FSCT-12,FSCT-13,Label
108,06:9d:e7:75:30:b6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
109,06:a0:52:0f:77:e1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,iPhone11_M
110,06:a1:87:f5:a6:1d,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
111,06:a6:03:a7:27:c0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
112,06:ab:08:1b:ad:b1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
113,06:b3:41:0d:f3:51,0.0,0.044835806,0.08987093,0.134863854,0.179862023,0.224937916,0.269842864,0.314805031,0.359798909,0.404858828,0.449826003,0.494998932,0.539769888,iPhoneXR_L
114,06:bb:1f:36:74:55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_M
115,06:bf:3e:cf:94:52,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
116,06:bf:77:40:2b:3d,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
117,06:bf:7f:ac:3d:67,1.0,0.0,0.024787903,0.049807072,0.074898958,0.100121021,0.124644041,0.149945974,0.174926043,0.200426102,0.223354101,0.248372078,0.273375034,iPhoneXR_A
118,06:c3:60:54:03:51,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_C
119,06:c9:d3:7a:72:3d,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone11_B
120,06:d1:13:3d:ec:c9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
121,06:d5:5b:12:13:9f,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
122,06:db:5e:c4:cb:90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
123,06:dc:e4:af:c4:7b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,iPhone11_C
124,06:e0:97:bf:6d:46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,iPhone11_B
125,06:e6:e1:52:a0:9c,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
126,06:f2:3f:2b:59:bb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone11_C
127,06:f5:16:09:05:0e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,iPhone11_C
128,06:f9:55:ba:47:79,0.0,0.045093059,0.083991051,1.0,1.0,0.166598081,1.0,1.0,0.253489971,0.271011114,1.0,1.0,1.0,GooglePixel3A_L
129,0a:04:45:19:bd:eb,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
130,0a:05:19:c0:42:08,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_M
131,0a:0a:82:2c:f2:ec,0.0,0.046641111,0.089524984,0.134701014,0.184687138,0.225266933,0.270007134,0.315010071,0.360074997,0.405138969,0.45016408,0.494719982,0.540140152,iPhoneXR_L
132,0a:10:fc:83:d1:14,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
133,0a:11:0a:6c:bc:3b,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
